major_category	trait_category	trait	n_qtl_rows	chrom_values	example_qtl_names	example_references	evidence_tier	notes
Physiological trait	Eating quality	elongation index	1	2	qEL-2	Liu, L.L., Yan, X.Y., Jiang, L., Zhang, W.W., Wang, M.Q., Zhou, S.R., Shen, Y., Shen, Y.Y., Liu, S.J., Chen, L.M., Wang, J.K., and Wan, J.M. (2008). Identification of stably expressed quantitative trait loci for cooked rice elongation in non-Basmati varieties. Genome 51, 104-112.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	flavour or fragrance of basmati and jasmine rice	1	8	fgr	Bradbury, L.M., Fitzgerald, T.L., Henry, R.J., Jin, Q., and Waters, D.L. (2005). The gene for fragrance in rice. Plant Biotechnol J 3, 363-370.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	gel consistency	1	1		Bao, J.S., Wu, Y.R., Hu, B., Wu, P., Cui, H.R., and Shu, Q.Y. (2002). QTL for rice grain quality based on a DH population derived from parents with similar apparent amylose content. Euphytica V128, 317-324.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	glossiness	1	3	qGL3-1	Takeuchi, Y., Nonoue, Y., Ebitani, T., Suzuki, K., Aoki, N., Sato, H., Ideta, O., Hirabayashi, H., Hirayama, M., Ohta, H., Nemoto, H., Kato, H., Ando, I., Ohtsubo, K., rsquo, ichi, Yano, M., and Imbe, T. (2007). QTL Detection for Eating Quality Including Glossiness, Stickiness, Taste and Hardness of Cooked Rice. Breeding Science 57, 231-242.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	glutelin subunit polypeptides	1	3	Glu6	Xu, J.C., Li, J.Z., Zheng, X.W., Zou, L.X., and Zhu, L.H. (2001). QTL mapping of the root traits in rice seedling. Yi Chuan Xue Bao 28, 433-438.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	grain breadth	1	6	qGB	Govindaraj, P., Arumugachamy, S., and Maheswaran, M. (2005). Bulked segregant analysis to detect main effect QTL associated with grain quality parameters in Basmati 370/ASD 16 cross in rice Oryza sativa L) using SSR markers. Euphytica V144, 61-68.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	granule disintegration	1	6	alk(t)	Umemoto, T., Yano, M., Satoh, H., Shomura, A., and Nakamura, Y. (2002). Mapping of a gene responsible for the difference in amylopectin structure between japonica-type and indica-type rice varieties. Theor Appl Genet 104, 1-8.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	head milled rice	1	7		Mei, H.W., Luo, L.J., Guo, L.B., Wang, Y.P., Yu, X.Q., Ying, C.S., and Li, Z.K. (2002). Molecular mapping of QTLs for rice milling yield traits. Yi Chuan Xue Bao 29, 791-797.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	high amount of glutelin precursor	1	4	glup3	Kumamaru, T., Uemura, Y., Takemoto, Y., Ogawa, M., and Satoh, H. (2002). High-resolution mapping of glup3 gene accumulating high amount of glutelin precursor. Rice Genetics Newsletter 19, 62-63.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	hot paste viscosity	1	2		Bao, J.S., Wu, Y.R., Hu, B., Wu, P., Cui, H.R., and Shu, Q.Y. (2002). QTL for rice grain quality based on a DH population derived from parents with similar apparent amylose content. Euphytica V128, 317-324.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	inositol-6-phosphate	1	5		Stangoulis, J.C.R., Huynh, B.-L., Welch, R.M., Choi, E.-Y., and Graham, R.D. Quantitative trait loci for phytate in rice grain and their relationship with grain micronutrient content. Euphytica.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	notched kernel	1	5	nk2(t)	Sobrizal, and Yoshimura, A. (2002). Mapping of a gene for notched kernel found in backcross progeny of Oryza sativa L. and Oryza glumaepatula Steud. Rice Genetics Newsletter 19, 38-40.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	overall evaluation	1	3	qOE3-1	Takeuchi, Y., Nonoue, Y., Ebitani, T., Suzuki, K., Aoki, N., Sato, H., Ideta, O., Hirabayashi, H., Hirayama, M., Ohta, H., Nemoto, H., Kato, H., Ando, I., Ohtsubo, K., rsquo, ichi, Yano, M., and Imbe, T. (2007). QTL Detection for Eating Quality Including Glossiness, Stickiness, Taste and Hardness of Cooked Rice. Breeding Science 57, 231-242.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	protein content	1	11		Yoshida, S., Ikegami, M., Kuze, J., Sawada, K., Hashimoto, Z., Ishii, T., Nakamura, C., and Kamijima, O. (2002). QTL Analysis for Plant and Grain Characters of Sake-brewing Rice Using a Doubled Haploid Population. Breeding Science 52, 309-317.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	scent revelation with KOH	1	8	Aroma	Lorieux, M., Petrov, M., Huang, N., Guiderdoni, E., and Ghesqui?re, A. (1996). Aroma in rice: genetic analysis of a quantitative trait. TAG Theoretical and Applied Genetics 93, 1145-1151.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	setback	1	4		Bao, J.S., Wu, Y.R., Hu, B., Wu, P., Cui, H.R., and Shu, Q.Y. (2002). QTL for rice grain quality based on a DH population derived from parents with similar apparent amylose content. Euphytica V128, 317-324.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	starch debranching enzyme	1	4	Re	Nakamura, Y., Umemoto, T., Ogata, N., Kuboki, Y., Yano, M., and Sasaki, T. (1996). Starch debranching enzyme (R-enzyme or pullulanase) from developing rice endosperm: purification, cDNA and chromosomal localization of the gene. Planta 199, 209-218.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	starch gelatinisation	1	6	gel(t)	Umemoto, T., Yano, M., Satoh, H., Shomura, A., and Nakamura, Y. (2002). Mapping of a gene responsible for the difference in amylopectin structure between japonica-type and indica-type rice varieties. Theor Appl Genet 104, 1-8.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	stickiness	1	3	qST3-2	Takeuchi, Y., Nonoue, Y., Ebitani, T., Suzuki, K., Aoki, N., Sato, H., Ideta, O., Hirabayashi, H., Hirayama, M., Ohta, H., Nemoto, H., Kato, H., Ando, I., Ohtsubo, K., rsquo, ichi, Yano, M., and Imbe, T. (2007). QTL Detection for Eating Quality Including Glossiness, Stickiness, Taste and Hardness of Cooked Rice. Breeding Science 57, 231-242.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	stickiness score	1	2		Kobayashi, A., Tomita, K., Yu, F., Takeuchi, Y., and Yano, M. (2008). Verification of quantitative trait locus for stickiness of cooked rice and amylose content by developing near-isogenic lines. Breeding Science 58, 235-242.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	taste	1	3	qTA3	Takeuchi, Y., Nonoue, Y., Ebitani, T., Suzuki, K., Aoki, N., Sato, H., Ideta, O., Hirabayashi, H., Hirayama, M., Ohta, H., Nemoto, H., Kato, H., Ando, I., Ohtsubo, K., rsquo, ichi, Yano, M., and Imbe, T. (2007). QTL Detection for Eating Quality Including Glossiness, Stickiness, Taste and Hardness of Cooked Rice. Breeding Science 57, 231-242.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	total P	1	5		Stangoulis, J.C.R., Huynh, B.-L., Welch, R.M., Choi, E.-Y., and Graham, R.D. Quantitative trait loci for phytate in rice grain and their relationship with grain micronutrient content. Euphytica.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	volume expansion	1	6	qVE-6	Tian, R., Jiang, G.-H., Shen, L.-H., Wang, L.-Q., and He, Y.-Q. (2005). Mapping quantitative trait loci underlying the cooking and eating quality of rice using a DH population Molecular Breeding 15, 117-124.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	water absorption	1	2	qWA-2	Liu, L.L., Yan, X.Y., Jiang, L., Zhang, W.W., Wang, M.Q., Zhou, S.R., Shen, Y., Shen, Y.Y., Liu, S.J., Chen, L.M., Wang, J.K., and Wan, J.M. (2008). Identification of stably expressed quantitative trait loci for cooked rice elongation in non-Basmati varieties. Genome 51, 104-112.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	white belly	1	5		Yoshida, S., Ikegami, M., Kuze, J., Sawada, K., Hashimoto, Z., Ishii, T., Nakamura, C., and Kamijima, O. (2002). QTL Analysis for Plant and Grain Characters of Sake-brewing Rice Using a Doubled Haploid Population. Breeding Science 52, 309-317.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	white core	1	12		Yoshida, S., Ikegami, M., Kuze, J., Sawada, K., Hashimoto, Z., Ishii, T., Nakamura, C., and Kamijima, O. (2002). QTL Analysis for Plant and Grain Characters of Sake-brewing Rice Using a Doubled Haploid Population. Breeding Science 52, 309-317.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	white-back kernels	1	2		蛯谷武志, 山本良孝, 矢野昌裕, and 舟根政治. (2008). 染色体断片置換系統群を利用したイネの玄米外観品質に関与するQTLの検出. 育種学研究 10, 91-99.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	white-berry kernels	1	1		蛯谷武志, 山本良孝, 矢野昌裕, and 舟根政治. (2008). 染色体断片置換系統群を利用したイネの玄米外観品質に関与するQTLの検出. 育種学研究 10, 91-99.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Flowering	Early heading date	1	10	Ehd1	Doi, K., Izawa, T., Fuse, T., Yamanouchi, U., Kubo, T., Shimatani, Z., Yano, M., and Yoshimura, A. (2004). Ehd1, a B-type response regulator in rice, confers short-day promotion of flowering and controls FT-like gene expression independently of Hd1. Genes Dev 18, 926-936.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Flowering	Flowering duration	1	3	qFDN-3	Hittalmani, S., Shashidhar, H.E., Bagali, P.G., Huang, N., Sidhu, J.S., Singh, V.P., and Khush, G.S. (2002). Molecular mapping of quantitative trait loci for plant growth, yield and yield related traits across three diverse locations in a doubled haploid rice population. Euphytica V125, 207-214.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Flowering	day to heading	1	7	qDTH-7	Fujino, K., and Sekiguchi, H. (2005). Identification of QTLs Conferring Genetic Variation for Heading Date among Rice Varieties at the Northern-limit of Rice Cultivation. Breeding Science 55, 141-146.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Flowering	days to emergence of flag-leaf	1	3	qDEF-3	Dong, Y., Kamiunten, H., Ogawa, T., Tsuzuki, E., Terao, H., Lin, D., and Matsuo, M. (2004). Mapping of QTLs for leaf developmental behavior in rice (Oryza sativa L.). Euphytica V138, 169-175.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Flowering	days-to-heading	1	6	qDTH-6	Yamamoto, T., Taguchi-Shiobara, F., Ukai, Y., Sasaki, T., and Yano, M. (2001). Mapping Quantitative Trait Loci for Days-to-heading, and Culm, Panicle and Internode Lengths in a BC1F3 Population Using an Elite Rice Variety, Koshihikari, as the Recurrent Parent. Breeding Science 51, 63-71.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Flowering	dominant photoperiod-sensitive suppression gene	1	6	Su-Se-1(t)	Yu, C.Y., Wei, X.J., Chen, L.M., Jiang, L., Zhai, H.Q., and Wan, J.M. (2005). Identification of a dominant suppressor of photoperiod-sensitive gene using indica/japonica backcrossed progenies in rice (Oryza sativa L.). Rice Genetics Newsletter 22, 54-.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Flowering	length of the heading period	1	7	qah7	Ishimaru, K., and Kashiwagi, T. (2004). Identification of a locus for asynchronous heading in rice, Oryza sativa L. Euphytica V139, 141-145.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Flowering	photoperiod sensitive phase	1	6	qPSP-6	Cai, H.W., and Morishima, H. (1998). Mapping QTLs for heading behavior using RI population derived from a cross between wild and cultivated rice strains. Rice Genetics Newsletter 15, 144-146.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Germination/dormancy		1	1	qSD-1-2	Jiang, L., Cao, Y.J., Wang, C.M., Zhai, H.Q., Wan, J.M., and Yoshimura, A. (2003). Detection and analysis of QTL for seed dormancy in rice (Oryza sativa L.) using RIL and CSSL population. Yi Chuan Xue Bao 30, 453-458.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Germination/dormancy	Germination rate	1	5	qGR5-1	Cui, H., Peng, B., Xing, Z., Xu, G., Yu, B., and Zhang, Q. (2002). Molecular dissection of seedling-vigor and associated physiological traits in rice. Theor Appl Genet 105, 745-753.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Germination/dormancy	Relative germination rate(RGR)	1	5	qRGR-5	You, J., Li, Q., Yue, B., Xue, W.Y., Luo, L.J., and Xiong, L.Z. (2006). Identification of quantitative trait loci for ABA sensitivity at seed germination and seedling stages in rice. Yi Chuan Xue Bao 33, 532-541.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Germination/dormancy	Relative germination vigor(RGV)	1	8	qRGV-8	You, J., Li, Q., Yue, B., Xue, W.Y., Luo, L.J., and Xiong, L.Z. (2006). Identification of quantitative trait loci for ABA sensitivity at seed germination and seedling stages in rice. Yi Chuan Xue Bao 33, 532-541.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Germination/dormancy	Seed longevity	1	9	qLG-9	Miura, K., Lin, Y., Yano, M., and Nagamine, T. (2002). Mapping quantitative trait loci controlling seed longevity in rice ( Oryza sativa L.). Theor Appl Genet 104, 981-986.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Germination/dormancy	Seed ｄormancy	1	7	qSDS-7-2	Gu, X.-Y., Kianian, S.F., and Foley, M.E. (2004). Multiple Loci and Epistases Control Genetic Variation for Seed Dormancy in Weedy Rice (Oryza sativa). Genetics 166, 1503-1516.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
